cluster	./NaAlSi3O8_T4_nvt_a12.0.	./NaAlSi3O8_T4_nvt_a12.5.	./NaAlSi3O8_T4_nvt_a13.0.	./NaAlSi3O8_T4_nvt_a13.5.	./NaAlSi3O8_T4_nvt_a14.0.	./NaAlSi3O8_T4_nvt_a14.5.	./NaAlSi3O8_T4_nvt_a15.0.	./NaAlSi3O8_T4_nvt_a15.5.	./NaAlSi3O8_T4_nvt_a16.0.	./NaAlSi3O8_T4_nvt_a16.5.	./NaAlSi3O8_T4_nvt_a17.0.	./NaAlSi3O8_T4_nvt_a17.5.	./NaAlSi3O8_T4_nvt_a18.0.	./NaAlSi3O8_T4_nvt_a18.5.	./NaAlSi3O8_T4_nvt_a19.0.	
O_15	434475.0	464850.0	230500.0	68218.0	14139.0	1284.0	1157.0	296.0								
O_13	567077.0	521196.0	618585.0	466198.0	229216.0	55090.0	41658.0	18817.0								
O_17	30832.0	50802.0	11406.0	1342.0	56.0	12.0	1.0									
O_14	663144.0	641444.0	483739.0	225480.0	73119.0	10297.0	7862.0	3334.0								
O_12	280863.0	260246.0	496166.0	618627.0	455016.0	186480.0	130932.0	69165.0								
Na_1O_9	87175.0	78813.0	83252.0	69919.0	39582.0	15235.0	4892.0	1848.0	778.0	1476.0	764.0	614.0	374.0	614.0	458.0	
Al_1O_8	17491.0	3263.0	529.0	132.0	9.0	19.0					12.0					
Al_1O_4	3450.0	18301.0	52802.0	99530.0	151603.0	156851.0	151512.0	145641.0	163919.0	306118.0	285920.0	289300.0	297858.0	282818.0	306052.0	
O_16	158546.0	199935.0	65682.0	13334.0	1495.0	215.0	108.0	13.0								
Si_1O_6	350608.0	152399.0	57152.0	18791.0	6865.0	2487.0	1094.0	923.0	718.0	1776.0	1480.0	1120.0	1580.0	814.0	1390.0	
Na_1O_11	41269.0	47634.0	26066.0	9383.0	2559.0	474.0	84.0	31.0		66.0	14.0	24.0	2.0		50.0	
Si_1O_4	87052.0	257609.0	432591.0	605672.0	700687.0	681832.0	603636.0	554344.0	597326.0	1121472.0	1026218.0	993734.0	995944.0	898106.0	1025740.0	
Na_1O_12	9754.0	14658.0	6858.0	1629.0	266.0	59.0	30.0					4.0			6.0	
Al_1O_6	133224.0	124437.0	78386.0	47633.0	21563.0	11597.0	6187.0	3836.0	3331.0	6172.0	5184.0	5266.0	5498.0	3542.0	5298.0	
Si_1O_5	372925.0	419888.0	336315.0	234965.0	155598.0	89277.0	62133.0	47786.0	45797.0	85616.0	76194.0	78014.0	76570.0	65854.0	75640.0	
O_11	84982.0	78385.0	242360.0	534344.0	616076.0	403076.0	288556.0	175525.0								
O_10	15152.0	13978.0	74735.0	302903.0	554365.0	568662.0	440332.0	334494.0								
Al_1O_5	42190.0	97999.0	134058.0	137246.0	114001.0	82305.0	64695.0	45605.0	48072.0	77284.0	76026.0	72832.0	72756.0	62216.0	70642.0	
Al_1O_10	2.0															
Na_1O_8	44393.0	40789.0	65830.0	86028.0	72518.0	39565.0	17353.0	8196.0	4810.0	6114.0	3542.0	3402.0	2356.0	2762.0	2450.0	
Al_1O_7	82670.0	35796.0	11576.0	4775.0	1057.0	446.0	330.0	111.0	45.0	316.0	342.0	210.0	98.0	86.0	132.0	
Na_1O_10	85495.0	82552.0	63323.0	33686.0	13735.0	3580.0	1129.0	355.0	97.0	270.0	156.0	84.0	32.0	56.0	98.0	
