SimulationID	Pseudo_isoT(K)	Density(kg/m^3)	T(K)	σT(K)	P(GPa)	σP(GPa)	 	D_Na(m^2/s)	D_Al(m^2/s)	D_Si(m^2/s)	D_O(m^2/s)
RN017	3000	2100.000401	3090.463416	17.747693	-0.41044	0.169124		2.607364E-08	5.053565E-09	2.528103E-09	2.879610E-09
RN025	3000	2200.001005	3040.792643	17.688485	-0.12625	0.157949		2.117145E-08	4.344188E-09	2.099134E-09	3.107090E-09
RN033	3000	2250.001096	3080.783348	18.179408	0.19253	0.169800		1.910393E-08	4.664272E-09	2.279001E-09	2.093737E-09
RN041	3000	2300.001057	3093.185507	18.059860	0.49643	0.180666		1.906708E-08	4.809148E-09	2.449758E-09	1.627777E-09
RN049	3000	2400.001105	3074.486380	17.624435	1.20005	0.187290		1.628944E-08	4.878032E-09	2.516219E-09	3.318197E-09
RN057	3000	2500.001096	3042.609449	16.526698	2.07313	0.213508		1.298848E-08	4.638462E-09	2.271108E-09	2.943735E-09
RN065	3000	2600.004334	3085.832340	17.176448	3.22180	0.187795		1.160478E-08	4.636368E-09	2.689153E-09	2.763353E-09
RN073	3000	2700.000113	3048.457660	17.030320	4.49006	0.204018		9.504490E-09	4.781000E-09	2.588450E-09	3.253087E-09
RN081	3000	2800.002586	3072.946527	17.702014	6.15528	0.215005		8.920410E-09	4.908820E-09	2.662543E-09	3.371012E-09
RN089	3000	2900.000972	3061.591408	16.425725	7.98120	0.210488		7.622944E-09	4.325495E-09	2.447527E-09	3.471001E-09
RN097	3000	3000.007665	3064.774264	16.571841	10.09245	0.218306		6.340900E-09	4.427483E-09	2.638063E-09	3.277876E-09
RN105	3000	3100.000681	3083.016684	16.727944	12.57187	0.237933		5.639703E-09	4.155838E-09	2.572553E-09	3.175207E-09
RN113	3000	3200.001704	3058.877009	16.937818	15.19526	0.239662		4.946791E-09	3.718320E-09	2.361469E-09	3.214304E-09
RN121	3000	3300.002355	3060.606466	17.292681	18.28571	0.251678		4.041656E-09	3.766261E-09	2.317299E-09	2.468571E-09
RN129	3000	3400.000875	3084.932254	17.188123	21.83757	0.253126		3.809371E-09	3.316867E-09	2.216478E-09	3.531595E-09
RN137	3000	3500.001321	3043.762047	16.702374	25.45455	0.280540		2.847178E-09	2.687960E-09	1.834597E-09	3.366026E-09
RN145	3000	3600.002031	3046.047463	17.032003	29.73016	0.281606		2.185590E-09	2.289365E-09	1.517833E-09	3.285434E-09
RN011	3353	2000.004505	3349.617735	19.282958	-0.37994	0.155377		3.502262E-08	8.347229E-09	4.710840E-09	2.412440E-09
RN018	3353	2100.000401	3365.399735	19.038955	-0.16487	0.174745		3.032831E-08	8.272151E-09	4.271111E-09	4.652853E-09
RN026	3353	2200.001005	3363.284632	18.727498	0.24194	0.184248		2.732764E-08	7.736635E-09	4.217826E-09	4.565606E-09
RN034	3353	2250.001096	3349.102274	18.698069	0.50206	0.180641		2.438012E-08	7.450521E-09	4.231317E-09	4.443351E-09
RN042	3353	2300.001057	3341.807024	18.403007	0.78078	0.183635		2.214708E-08	7.750312E-09	3.982044E-09	5.180164E-09
RN050	3353	2400.001105	3364.513863	19.470843	1.60232	0.193588		2.026612E-08	7.500722E-09	3.879400E-09	3.007638E-09
RN058	3353	2500.001096	3360.380930	18.199593	2.55526	0.195056		1.742186E-08	7.066471E-09	4.026728E-09	5.371050E-09
RN066	3353	2600.004334	3371.503636	17.971388	3.73614	0.195694		1.481297E-08	7.020215E-09	3.961148E-09	5.887484E-09
RN074	3353	2700.000113	3370.695082	19.378640	5.13459	0.213845		1.283177E-08	7.223097E-09	4.131840E-09	4.125870E-09
RN082	3353	2800.002586	3373.763824	19.881408	6.81191	0.219448		1.103141E-08	6.848170E-09	3.988405E-09	3.972040E-09
RN090	3353	2900.000972	3331.520717	18.861415	8.64562	0.227678		9.664612E-09	6.581030E-09	3.837886E-09	3.453132E-09
RN098	3353	3000.007665	3339.551410	19.511994	10.88083	0.241056		8.615762E-09	6.132787E-09	3.599198E-09	5.179903E-09
RN106	3353	3100.000681	3340.125715	20.896499	13.38668	0.242817		7.514804E-09	5.664229E-09	3.573816E-09	5.494700E-09
RN114	3353	3200.001704	3354.834174	18.611438	16.30774	0.265963		6.302998E-09	5.565382E-09	3.275147E-09	5.076916E-09
RN122	3353	3300.002355	3355.262085	18.556425	19.50627	0.262063		5.926351E-09	5.045162E-09	3.363422E-09	5.578706E-09
RN130	3353	3400.000875	3357.622908	18.908499	23.14456	0.258699		5.049804E-09	4.618393E-09	3.110795E-09	5.121523E-09
RN138	3353	3500.001321	3348.128695	17.984942	27.10640	0.264563		4.049644E-09	4.227195E-09	2.817036E-09	5.151059E-09
RN146	3353	3600.002031	3318.891773	19.067189	31.40535	0.264288		3.266946E-09	3.234757E-09	2.273659E-09	5.096478E-09
