	T(K)	Density(kg/m3)	Temperature(K)		Pressure(GPa)			DCalcium(m2/s)	DAluminum(m2/s)	DSilicon(m2/s)	DOxygen(m2/s)
CIC_An01	3500	2398.21	3533.05		0.84			1.76E-09	9.72E-10	6.28E-10	1.25E-09
CIC_An07	3500	2518.12	3569.84		1.68			1.61E-09	1.09E-09	7.12E-10	1.44E-09
CIC_An13	3500	2598.06	3551.30		2.30			1.42E-09	1.00E-09	7.14E-10	1.47E-09
CIC_An19	3500	2673.27	3491.07		3.00			1.07E-09	8.85E-10	6.50E-10	1.33E-09
CIC_An25	3500	2724.28	3508.98		3.65			1.01E-09	8.36E-10	6.08E-10	1.37E-09
CIC_An31	3500	2797.91	3528.69		4.60			8.82E-10	8.01E-10	6.15E-10	1.37E-09
CIC_An37	3500	3307.53	3564.65		18.50			1.62E-10	1.80E-10	1.33E-10	6.58E-10
CIC_An43	3500	3367.49	3524.17		21.20			1.53E-10	1.55E-10	1.16E-10	5.80E-10
CIC_An49	3500	3417.45	3590.21		24.19			1.23E-10	1.44E-10	1.19E-10	5.77E-10
CIC_An55	3500	3557.35	3544.40		31.67			5.65E-11	5.12E-11	4.87E-11	3.08E-10
CIC_An61	3500	3987.03	3532.60		67.04			2.30E-11	2.41E-11	1.81E-11	1.18E-10
CIC_An67	3500	4326.77	3532.31		105.24			1.39E-11	1.41E-11	1.16E-11	8.16E-11
CIC_An02	4000	2398.21	4026.93		0.98			3.58E-09	2.07E-09	1.46E-09	2.62E-09
CIC_An08	4000	2518.12	4048.74		2.04			3.08E-09	2.02E-09	1.43E-09	2.77E-09
CIC_An14	4000	2598.06	3994.95		2.78			2.40E-09	1.86E-09	1.38E-09	2.64E-09
CIC_An20	4000	2673.27	4000.69		3.69			2.26E-09	1.89E-09	1.37E-09	2.70E-09
CIC_An26	4000	2724.28	3994.05		4.29			1.90E-09	1.68E-09	1.27E-09	2.54E-09
CIC_An32	4000	2797.91	3979.46		5.45			1.73E-09	1.63E-09	1.18E-09	2.55E-09
CIC_An38	4000	3307.53	4068.19		20.68			4.18E-10	4.80E-10	3.55E-10	1.45E-09
CIC_An44	4000	3367.49	4016.70		23.34			3.48E-10	3.68E-10	3.02E-10	1.28E-09
CIC_An50	4000	3417.45	4068.76		26.10			2.75E-10	3.09E-10	2.46E-10	1.17E-09
CIC_An56	4000	3557.35	4052.53		34.09			1.66E-10	1.75E-10	1.50E-10	8.51E-10
CIC_An62	4000	3987.03	4016.22		69.37			4.50E-11	3.53E-11	2.92E-11	2.94E-10
CIC_An68	4000	4326.77	3992.81		107.60			2.84E-11	3.29E-11	2.30E-11	1.97E-10
CIC_An03	4500	2398.21	4523.43		1.28			5.27E-09	3.47E-09	2.53E-09	4.35E-09
CIC_An09	4500	2518.12	4523.22		2.42			4.75E-09	3.51E-09	2.33E-09	4.30E-09
CIC_An15	4500	2598.06	4536.82		3.41			4.35E-09	3.46E-09	2.58E-09	4.56E-09
CIC_An21	4500	2673.27	4506.84		4.37			3.37E-09	2.97E-09	2.30E-09	4.48E-09
CIC_An27	4500	2724.28	4531.21		5.22			3.17E-09	2.89E-09	2.16E-09	4.34E-09
CIC_An33	4500	2797.91	4516.09		6.55			2.83E-09	2.62E-09	1.96E-09	4.17E-09
CIC_An39	4500	3307.53	4547.33		22.81			9.34E-10	1.02E-09	7.58E-10	2.64E-09
CIC_An45	4500	3367.49	4529.86		25.65			8.33E-10	9.08E-10	6.88E-10	2.46E-09
CIC_An51	4500	3417.45	4497.61		28.06			6.33E-10	7.04E-10	5.59E-10	2.15E-09
CIC_An57	4500	3557.35	4540.95		36.51			3.62E-10	4.04E-10	3.03E-10	1.64E-09
CIC_An63	4500	3987.03	4558.39		71.83			9.82E-11	1.02E-10	7.98E-11	8.09E-10
CIC_An69	4500	4326.77	4527.99		110.64			3.83E-11	4.02E-11	3.77E-11	4.95E-10
CIC_An04	5000	2398.21	5044.41		1.64			8.08E-09	5.38E-09	3.83E-09	6.34E-09
CIC_An10	5000	2518.12	4998.17		2.89			7.10E-09	5.10E-09	3.92E-09	6.69E-09
CIC_An16	5000	2598.06	4996.86		3.98			5.99E-09	4.92E-09	3.68E-09	6.50E-09
CIC_An22	5000	2673.27	4982.69		5.11			5.08E-09	4.35E-09	3.28E-09	6.20E-09
CIC_An28	5000	2724.28	5019.94		6.10			4.84E-09	4.33E-09	3.31E-09	6.36E-09
CIC_An34	5000	2797.91	5004.61		7.48			4.42E-09	4.21E-09	3.15E-09	6.15E-09
CIC_An40	5000	3307.53	5036.72		24.76			1.77E-09	1.85E-09	1.46E-09	4.28E-09
CIC_An46	5000	3367.49	5031.55		27.76			1.38E-09	1.53E-09	1.26E-09	3.91E-09
CIC_An52	5000	3417.45	5054.86		30.67			1.32E-09	1.47E-09	1.17E-09	3.75E-09
CIC_An58	5000	3557.35	4983.66		38.92			8.65E-10	9.59E-10	7.74E-10	2.99E-09
