	T(K)	rho(kg/m3)	T(K)		P(GPa)			DCalcium (m2/s)	DAluminum (m2/s)	DSilicon (m2/s)	DOxygen (m2/s)
	3000	2251	3000.0		0.615318601			2.24E-09	2.00E-09	9.57E-10	2.00E-09
	3000	2361	3000.0		1.151469642			4.94E-09	2.00E-09	1.54E-09	2.18E-09
	3000	2476	3000.0		1.119287707			4.10E-09	1.89E-09	1.03E-09	1.60E-09
	3000	2609	3000.0		1.655438747			2.82E-09	2.92E-09	1.50E-09	2.90E-09
	3000	2751	3000.0		3.142244154			3.35E-09	2.32E-09	1.73E-09	2.94E-09
	3000	2913	3000.0		4.248659086			2.74E-09	2.45E-09	2.25E-09	4.04E-09
	3000	3095	3000.0		6.494314525			2.51E-09	2.53E-09	2.32E-09	2.72E-09
	3000	3301	3000.0		10.63870414			1.56E-09	2.09E-09	1.32E-09	2.41E-09
	3000	3536	3000.0		16.11220768			1.58E-09	2.03E-09	1.32E-09	2.07E-09
	3000	4131	3000.0		35.03325467			8.56E-10	1.33E-09	3.36E-10	1.08E-09
	3000	4958	3000.0		90.03089466			7.41E-11	5.12E-11	9.14E-11	1.57E-10
	4000	2253	4000.0		1.374168633			1.78E-08	1.28E-08	1.24E-08	1.29E-08
	4000	2359	4000.0		1.911606951			2.74E-08	9.86E-09	8.91E-09	1.17E-08
	4000	2479	4000.0		2.447757992			1.31E-08	1.14E-08	9.17E-09	1.27E-08
	4000	2607	4000.0		3.364943145			1.37E-08	8.91E-09	7.49E-09	8.23E-09
	4000	2748	4000.0		4.851748552			1.03E-08	1.11E-08	8.28E-09	1.11E-08
	4000	2913	4000.0		6.337266681			1.03E-08	1.08E-08	8.40E-09	9.19E-09
	4000	3095	4000.0		9.912036044			1.19E-08	1.14E-08	8.28E-09	1.12E-08
	4000	3301	4000.0		14.24629908			5.16E-09	5.68E-09	4.38E-09	7.88E-09
	4000	3536	4000.0		20.28942287			3.35E-09	4.99E-09	4.78E-09	5.85E-09
	4000	4131	4000.0		42.62819138			4.51E-09	2.96E-09	2.76E-09	3.62E-09
	4000	4958	4000.0		97.24608453			1.50E-09	1.21E-09	6.29E-10	1.23E-09
	6000	2251	6000.0		4.222913538			4.47E-08	4.19E-08	3.63E-08	4.96E-08
	6000	2359	6000.0		4.759708217			2.44E-08	3.23E-08	4.71E-08	4.53E-08
	6000	2479	6000.0		5.675606093			4.28E-08	2.96E-08	3.14E-08	4.33E-08
	6000	2607	6000.0		7.542158335			3.07E-08	3.38E-08	3.53E-08	3.69E-08
	6000	2748	6000.0		9.218837159			3.81E-08	3.14E-08	1.89E-08	4.13E-08
	6000	2910	6000.0		12.79360652			2.66E-08	2.88E-08	2.49E-08	3.61E-08
	6000	3098	6000.0		16.36708861			1.86E-08	2.72E-08	2.72E-08	2.73E-08
	6000	3301	6000.0		21.84123579			2.48E-08	1.78E-08	1.76E-08	3.18E-08
	6000	3536	6000.0		29.78309376			1.69E-08	1.47E-08	1.74E-08	2.28E-08
	6000	4125	6000.0		56.67946793			1.09E-08	1.41E-08	1.27E-08	1.59E-08
	6000	4958	6000.0		115.0941858			6.07E-09	9.85E-09	7.42E-09	7.42E-09
