elements	Na	Al	Si	O
number	16	16	48	128
file	P(GPa)	D_Na(m^2/s)	D_Al(m^2/s)	D_Si(m^2/s)	D_O(m^2/s)
NaAlSi3O8_T2_nvt_a15.0.outcar	-0.439	7.52413795067e-09	1.13665634129e-10	8.03937858225e-12	3.06900607081e-11
NaAlSi3O8_T2_nvt_a15.5.outcar	-1.56	1.16445095303e-08	-7.29726833208e-12	5.44945223731e-11	-8.76844928515e-11
NaAlSi3O8_T2_nvt_a16.0.outcar	-1.91	1.41556679291e-08	-7.20236059494e-11	2.06160104313e-10	3.92956718554e-11
NaAlSi3O8_T2_nvt_a16.5.outcar	-2.16	1.51094528565e-08	-2.78100824034e-11	-4.07151637483e-11	-1.13804798194e-11
NaAlSi3O8_T2_nvt_a17.0.outcar	-2.36	9.14621163997e-09	1.32540152477e-10	1.46084852809e-10	1.61340268664e-10
NaAlSi3O8_T2_nvt_a17.5.outcar	-1.49	6.2226013954e-09	-1.17316386282e-10	7.50689567193e-12	1.34418946597e-10
NaAlSi3O8_T2_nvt_a18.0.outcar	-1.69	1.24527041966e-08	1.95632406285e-10	-2.72050729713e-11	6.14175344293e-11
NaAlSi3O8_T2_nvt_a18.5.outcar	-1.44	5.80076290589e-09	-2.84035268424e-10	-9.8480153198e-12	-2.22802141845e-11
NaAlSi3O8_T2_nvt_a19.0.outcar	-0.753	6.19283854303e-09	1.71570093921e-10	1.35752923858e-10	2.01015843373e-10
NaAlSi3O8_T3_nvt_a12.0.outcar	43.6	1.3300134335e-09	8.98472729303e-10	6.91986935556e-10	1.02680083039e-09
NaAlSi3O8_T3_nvt_a12.5.outcar	25.5	2.95255079085e-09	1.49747105524e-09	1.16099268112e-09	1.61125268612e-09
NaAlSi3O8_T3_nvt_a13.0.outcar	15.8	2.61200300594e-09	2.25948823907e-09	7.81507597789e-10	1.48677929368e-09
NaAlSi3O8_T3_nvt_a13.5.outcar	9.12	3.33730208999e-09	1.79590500425e-09	6.03856678009e-10	8.06977575001e-10
NaAlSi3O8_T3_nvt_a14.0.outcar	4.77	9.71420248987e-09	1.63117178177e-09	1.25050470298e-09	1.56757083078e-09
NaAlSi3O8_T3_nvt_a14.5.outcar	1.36	1.58517616303e-08	9.43401927181e-10	7.37230419934e-10	8.4484251718e-10
NaAlSi3O8_T3_nvt_a15.0.outcar	0.556	2.03006400757e-08	8.42890031666e-10	6.80109532541e-10	1.05180020785e-09
NaAlSi3O8_T3_nvt_a15.5.outcar	-0.433	3.57870107788e-08	1.83646592663e-09	8.24287841342e-10	1.25112565089e-09
NaAlSi3O8_T3_nvt_a16.0.outcar	-0.725	2.60022721955e-08	4.77772901847e-10	7.65754412373e-10	7.47228798804e-10
NaAlSi3O8_T3_nvt_a16.5.outcar	-0.648	3.45416294626e-08	1.08303213687e-09	9.846859617e-10	1.54831010146e-09
NaAlSi3O8_T3_nvt_a17.0.outcar	-0.573	2.99306062578e-08	2.32519446892e-09	1.48858789902e-09	1.65941870776e-09
NaAlSi3O8_T3_nvt_a17.5.outcar	-0.486	1.5042380961e-08	1.91950068864e-09	1.27675812241e-09	1.70148758125e-09
NaAlSi3O8_T3_nvt_a18.0.outcar	-0.567	3.71719154125e-08	1.91113423287e-09	1.97682692604e-09	2.22057724878e-09
NaAlSi3O8_T3_nvt_a18.5.outcar	-0.471	3.87589697127e-08	1.25437489745e-09	1.20931572144e-09	1.64708098331e-09
NaAlSi3O8_T3_nvt_a19.0.outcar	-0.471	3.03555956605e-08	1.43040396921e-09	1.08704510436e-09	1.63720789845e-09
NaAlSi3O8_T4.5_nvt_a15.0.outcar	1.68	5.05091772899e-08	1.56710997729e-08	1.24019424812e-08	1.4878991398e-08
NaAlSi3O8_T4.5_nvt_a15.5.outcar	0.859	4.94028873867e-08	1.21250661282e-08	1.43625808269e-08	1.867158719e-08
NaAlSi3O8_T4.5_nvt_a16.0.outcar	0.29	5.28497093073e-08	1.30172759107e-08	1.49621906481e-08	2.122214834e-08
NaAlSi3O8_T4.5_nvt_a16.5.outcar	0.0953	7.18097731018e-08	2.44869620244e-08	2.27104626387e-08	2.63485166566e-08
NaAlSi3O8_T4.5_nvt_a17.0.outcar	0.00303	8.13579755676e-08	1.64052047723e-08	2.81234601185e-08	2.61200523624e-08
NaAlSi3O8_T4.5_nvt_a17.5.outcar	-0.147	1.26954055952e-07	2.18561275038e-08	2.52923390199e-08	2.83133373746e-08
NaAlSi3O8_T4.5_nvt_a18.0.outcar	-0.167	8.651093254e-08	1.80092467801e-08	3.137422278e-08	2.76388740923e-08
