elements	Na	Al	Si	O
number	16	16	48	128
Location of ballistic to diffusif regime using linear regression curves (before 60 fs and after 500 fs).
Calculation of atomic self diffusivities using linear regression after 500 fs.
atom	Na	Na	Na	Na	Na	Na	Al	Al	Al	Al	Al	Al	Si	Si	Si	Si	Si	Si	O	O	O	O	O	O
file	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change	D(m2/s)	D_stdev	R_squared	slope	intercept	regime_change
NaAlSi3O8_T2_nvt_a15.0.outcar.msd.dat	6.658030252068394e-09	1.461660750938104e-11	0.9944499978310284	0.003994818151241036	11.332609662550958	277.70079424694495	1.4497601761505787e-11	1.8179370298446996e-13	0.8459629350395216	8.698561056903472e-06	0.5309708801292232	110.66155552778491	8.387595120084143e-12	3.703922117820073e-14	0.9779169374160857	5.032557072050486e-06	0.31465348866967807	97.02830055709362	1.723705967393745e-11	7.198064686767538e-14	0.9802061130205331	1.034223580436247e-05	0.6179044720325397	91.70929917086478
NaAlSi3O8_T2_nvt_a15.5.outcar.msd.dat	1.3953771817300334e-08	2.7964621341661005e-11	0.9977278875423629	0.0083722630903802	4.514033619567307	184.08707039449683	1.0312352293972755e-11	4.3468443870366806e-13	0.49814886650623064	6.1874113763836534e-06	0.45661154241327967	88.25603074160905	8.223387189268059e-12	3.837729694195764e-13	0.44744813560432856	4.934032313560835e-06	0.3762651747528226	93.85791869090156	8.609126252527094e-12	5.06860968499152e-13	0.3372269306804574	5.165475751516256e-06	0.6853869714714045	83.32200592333034
NaAlSi3O8_T2_nvt_a16.0.outcar.msd.dat	1.7207860524806115e-08	4.28409957853376e-11	0.9974651809611609	0.010324716314883669	6.253677853958152	212.05631932500634	2.0940152251785392e-11	1.3280965093624399e-12	0.37746696285608117	1.2564091351071232e-05	0.5050865572757135	92.3624189503942	6.808603082185087e-11	1.3528054992914732e-12	0.8606891696501329	4.085161849311052e-05	0.41449039413478633	97.86433702383478	8.879109210701137e-11	1.9993599847589566e-12	0.8278921046145963	5.327465526420682e-05	0.7758704368577017	88.12382616464119
NaAlSi3O8_T2_nvt_a16.5.outcar.msd.dat	1.754032617443128e-08	5.4250265589027415e-11	0.9934899778089024	0.010524195704658767	-6.9209821474075	nan	3.147732774649335e-11	2.607069194710166e-13	0.9551194999307496	1.8886396647896008e-05	0.5067256883115934	104.28091960318991	4.6378965356454857e-11	3.350475849599108e-13	0.9654850693310757	2.7827379213872912e-05	0.3551994100726878	101.8004092360587	7.058086089589595e-11	3.9102501736989313e-13	0.9794084237718254	4.234851653753757e-05	0.6904655775776485	95.3155877729194
NaAlSi3O8_T2_nvt_a17.0.outcar.msd.dat	1.3861153213866952e-08	5.083919975837724e-11	0.9912127901983252	0.00831669192832017	7.597052489836273	236.1030052405781	1.3646122692756008e-10	3.162825639161671e-13	0.9964723731855716	8.187673615653604e-05	0.49052114400010294	104.67099318280894	9.258743113502583e-11	2.265303829692455e-13	0.9960706167215555	5.55524586810155e-05	0.42907897115523164	111.18492835808236	1.1862004332076847e-10	3.7505532160578976e-13	0.9934550228925226	7.117202599246107e-05	0.8196508803151871	104.60826495708291
NaAlSi3O8_T2_nvt_a17.5.outcar.msd.dat	6.082945924420935e-09	3.3871130113368736e-11	0.9807516189933932	0.0036497675546525604	11.066288035295113	273.6835152449788	3.8073169778952944e-11	2.406781900421571e-13	0.9753288062473486	2.2843901867371766e-05	0.45415545056565243	99.13628673564355	4.7094920659848526e-11	1.851609732118555e-13	0.9903099587276523	2.825695239590911e-05	0.3873436782578289	104.8804813141182	6.834177249037409e-11	2.2852454545294897e-13	0.992971964801952	4.100506349422445e-05	0.6913668205881955	95.63106819156428
NaAlSi3O8_T2_nvt_a18.0.outcar.msd.dat	1.4715340632281528e-08	2.525290001450485e-11	0.9981803764212249	0.008829204379368917	3.27444821128465	166.15422640212148	5.640155108282418e-11	9.383961170533606e-13	0.8537167040277287	3.38409306496945e-05	0.749085696263103	122.61211156338733	2.2995661807820293e-11	3.471390657422995e-13	0.8763776245458041	1.3797397084692174e-05	0.5004012777333359	118.7861232322758	3.9134241762144846e-11	5.546046725891619e-13	0.8894258526953194	2.3480545057286905e-05	0.878092717848293	106.83071354571028
NaAlSi3O8_T2_nvt_a18.5.outcar.msd.dat	6.071782553036745e-09	7.690184143537674e-12	0.9985855518227933	0.003643069531822047	7.61437434680095	227.3042526919601	3.534738526754596e-11	3.595929971268701e-13	0.9162680667374022	2.1208431160527573e-05	0.6278333426041559	115.16487993289964	5.5910380204995166e-11	4.42544724873111e-13	0.9475789685376398	3.3546228122997096e-05	0.6125649042040561	130.79133311632552	9.02000448528015e-11	4.644489332524729e-13	0.9771243742452288	5.412002691168089e-05	0.9547155956031457	112.77130575037755
NaAlSi3O8_T2_nvt_a19.0.outcar.msd.dat	5.37078930846046e-09	2.306251074064701e-11	0.9874908796635509	0.0032224735850762756	10.455225768716105	268.1729612952715	3.347856849766739e-11	6.23012512880462e-13	0.8078118037286887	2.0087141098600434e-05	0.5522718348884608	108.5403114714212	1.1442102893596215e-11	3.2371448306697194e-13	0.6452105169285486	6.865261736157729e-06	0.4666701324331677	114.9882597023003	1.4627073952313244e-11	4.35518155225815e-13	0.6214839669777946	8.776244371387946e-06	0.774570640491787	102.82510412497041
NaAlSi3O8_T3_nvt_a12.0.outcar.msd.dat	1.6536292999192072e-09	4.8766115106693195e-12	0.9965160624810611	0.0009921775799515242	0.7073995289554964	76.34927466808603	9.573154128306422e-10	5.118179884420512e-12	0.9886398218598459	0.0005743892476983854	0.460995599145801	77.1791007541415	7.717446105620868e-10	6.110140324681386e-12	0.9754204974773919	0.0004630467663372521	0.48242407057584247	92.06274537441217	1.0719613995619093e-09	2.0195218162196423e-12	0.9985752271036746	0.0006431768397371456	0.369404007091819	70.42462195482543
NaAlSi3O8_T3_nvt_a12.5.outcar.msd.dat	2.9613033250680967e-09	6.5657365931184824e-12	0.9968979019939262	0.0017767819950408577	-0.06737431979670028	nan	1.7106703281585806e-09	2.9130843775673166e-12	0.9981677668575256	0.0010264021968951482	0.1294474736406075	44.32619950996856	1.4531058596527648e-09	1.3987946543568976e-12	0.9994137775287613	0.0008718635157916588	0.28011578042777785	70.5689725979794	1.7203450447183033e-09	2.055707975160612e-12	0.9990969681444465	0.001032207026830982	0.4836588289296051	73.07501757073962
NaAlSi3O8_T3_nvt_a13.0.outcar.msd.dat	2.938057626454248e-09	7.028021149985489e-12	0.9963910652113653	0.0017628345758725487	2.3931929666369456	116.26907987739239	1.8434800076744144e-09	6.8118933605795555e-12	0.9914311001890608	0.0011060880046046486	0.23626896161347055	55.726380908742335	1.1220691369381464e-09	1.1140353913479119e-12	0.9993764209005848	0.0006732414821628878	0.3405508682297418	75.14202823214688	1.6225278858315382e-09	2.0908494159975084e-12	0.9989499533024131	0.0009735167314989229	0.44726156415894547	65.15242203110388
NaAlSi3O8_T3_nvt_a13.5.outcar.msd.dat	3.1675645363522656e-09	7.639771535447734e-12	0.9963312572188332	0.0019005387218113592	3.068560964039788	120.49648984049554	1.1409928195306513e-09	2.50369027363488e-12	0.9969613727820196	0.0006845956917183908	0.8318030603634128	99.11608665251393	6.40754692529979e-10	2.6016410166264882e-12	0.9896722373507918	0.0003844528155179874	0.8239133382214647	112.8212119257767	1.0399156585975057e-09	3.422777030135152e-12	0.9931892225327603	0.0006239493951585034	1.2910183046028187	100.90750996176092
NaAlSi3O8_T3_nvt_a14.0.outcar.msd.dat	9.025830713499326e-09	5.063709929576595e-11	0.980889415560384	0.005415498428099595	5.3916994273247205	161.32242845119683	1.228596981980632e-09	4.301781655190131e-12	0.9924684356595724	0.0007371581891883792	1.2793391304642125	119.8026570903232	6.941540145544668e-10	2.5606240223369966e-12	0.9916472818621752	0.00041649240873268005	0.9601763257311444	120.51182147792356	1.073893925429754e-09	5.1194885541293555e-12	0.9861275199449467	0.0006443363552578523	1.7520266393740673	112.2112312210371
