elements	Na	Al	Si	O																																																																																	
number	16	16	48	128																																																																																	
pair	Na-Na	Na-Na	Na-Na	Na-Na	Na-Na	Na-Al	Na-Al	Na-Al	Na-Al	Na-Al	Na-Si	Na-Si	Na-Si	Na-Si	Na-Si	Na-O	Na-O	Na-O	Na-O	Na-O	Al-Na	Al-Na	Al-Na	Al-Na	Al-Na	Al-Al	Al-Al	Al-Al	Al-Al	Al-Al	Al-Si	Al-Si	Al-Si	Al-Si	Al-Si	Al-O	Al-O	Al-O	Al-O	Al-O	Si-Na	Si-Na	Si-Na	Si-Na	Si-Na	Si-Al	Si-Al	Si-Al	Si-Al	Si-Al	Si-Si	Si-Si	Si-Si	Si-Si	Si-Si	Si-O	Si-O	Si-O	Si-O	Si-O	O-Na	O-Na	O-Na	O-Na	O-Na	O-Al	O-Al	O-Al	O-Al	O-Al	O-Si	O-Si	O-Si	O-Si	O-Si	O-O	O-O	O-O	O-O	O-O	O2	O2	O2	O2	O2
file	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond	xmax	ymax	xmin	coord	bond
NaAlSi3O8_T2_nvt_a15.0.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.41228728728728	1.78396743587522	4.93536036036036	2.34081297980555	3.91133554111291	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	2.35247747747747	1.52368394931644	3.43495995995996	5.79528245540049	2.665391111	3.41228728728728	1.78396743587522	4.93536036036036	2.34081297980555	3.91133554111291	3.16779279279279	1.05679567244639	3.81794294294294	0.56888409905594	3.22009810777088	3.09947447447447	3.80865653936598	3.75187687687687	3.81595789998957	3.15209984641333	1.75638138138138	8.63754079380851	2.51318818818818	3.90951301915066	1.808925492	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.09947447447447	3.80865653936598	3.75187687687687	1.27198596666315	3.15209984641333	3.06403903903903	3.13940250631139	3.63596096096096	2.66259640117468	3.08106745320308	1.63220720720720	12.90555130025490	2.33861361361361	3.88333927796773	1.665767823	2.35247747747747	1.52368394931644	3.43495995995996	0.72441030692506	2.665391111	1.75638138138138	8.63754079380851	2.51318818818818	0.48868912739383	1.808925492	1.63220720720720	12.90555130025490	2.33861361361361	1.45625222923790	1.665767823	2.69301801801801	3.21799201619842	3.47064564564564	6.86228982562722	2.780199873	0	0	0	0	0
NaAlSi3O8_T2_nvt_a15.5.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.39336836836836	1.65190488731593	4.91614114114114	2.00014034681152	3.91195821889092	3.39687187187187	1.83693337885414	4.71959459459459	5.88821268573221	3.79382522019801	2.34256756756756	1.48859093493450	3.33861361361361	4.65796140734357	2.617259767	3.39336836836836	1.65190488731593	4.91614114114114	2.00014034681152	3.91195821889092	2.87500000000000	0.86821190692183	3.89857357357357	0.55877427284970	3.23591719690815	3.18115615615615	4.34816007015433	3.75427927927927	3.69820839574731	3.18268082120027	1.76549049049049	9.47540212446983	2.59767267267267	3.85828828102258	1.810915037	3.39687187187187	1.83693337885414	4.71959459459459	1.96273756191075	3.79382522019801	3.18115615615615	4.34816007015433	3.75427927927927	1.23273613191560	3.18268082120027	3.10487987987988	3.26859240580415	3.68671171171171	2.55390303194121	3.08263412990531	1.64557057057057	14.34148475529210	2.41789289289289	3.88178361848081	1.671058809	2.34256756756756	1.48859093493450	3.33861361361361	0.58224517591795	2.617259767	1.76549049049049	9.47540212446983	2.59767267267267	0.48228603512782	1.810915037	1.64557057057057	14.34148475529210	2.41789289289289	1.45566885693029	1.671058809	2.71293793793793	3.46156604533280	3.49982482482482	6.56771628350395	2.787190869	0	0	0	0	0
NaAlSi3O8_T2_nvt_a16.0.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.38541041041041	1.59459167139397	4.80202702702702	1.68242805201776	3.87490149129073	3.36789289289289	1.88269041011233	4.62905405405405	5.04367974306308	3.74732527242548	2.32004504504504	1.48867225475942	3.49792292292292	4.99019753557655	2.67354182	3.38541041041041	1.59459167139397	4.80202702702702	1.68242805201776	3.87490149129073	3.17500000000000	0.77941159048873	3.60893393393393	0.25001152563827	3.24376348510260	3.18666166166166	4.40119327056163	3.76809309309309	3.51270409568701	3.16934230060269	1.75252752752752	10.28717568342470	2.50788288288288	3.64835246626601	1.79667851	3.36789289289289	1.88269041011233	4.62905405405405	1.68122658102095	3.74732527242548	3.18666166166166	4.40119327056163	3.76809309309309	1.17090136522745	3.16934230060269	3.13926426426426	3.59482936089625	3.69156656656656	2.56509455417358	3.11660790776429	1.64617117117117	15.66317431516650	2.37705205205205	3.86362416330448	1.671787606	2.32004504504504	1.48867225475942	3.49792292292292	0.62377469194707	2.67354182	1.75252752752752	10.28717568342470	2.50788288288288	0.45604405828325	1.79667851	1.64617117117117	15.66317431516650	2.37705205205205	1.44885906123918	1.671787606	2.71559059059059	3.71676923248833	3.51138638638638	6.31326217984803	2.784215341	0	0	0	0	0
NaAlSi3O8_T2_nvt_a16.5.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.53255755755755	1.51172061141915	4.89947447447447	1.59616952715509	3.93696135671621	3.38260760760760	1.94736688892470	4.67995495495495	4.81239611471660	3.77057505631667	2.32274774774774	1.66080159543848	3.29557057057057	3.89889701402830	2.571548387	3.53255755755755	1.51172061141915	4.89947447447447	1.59616952715509	3.93696135671621	3.15412912912912	1.05242233909904	3.87500000000000	0.45045420193382	3.27067009026822	3.16063563563563	4.46437318456628	3.82635135135135	3.53274419012086	3.15155048276339	1.76373873873873	10.79041420176870	2.54762262262262	3.69784927818415	1.811429154	3.38260760760760	1.94736688892470	4.67995495495495	1.60413203823887	3.77057505631667	3.16063563563563	4.46437318456628	3.82635135135135	1.17758139670769	3.15155048276339	3.12244744744744	3.76902348272778	3.72680180180180	2.55233787832708	3.09966957363846	1.64977477477477	17.00456598517480	2.39677177177177	3.87937067020602	1.675436323	2.32274774774774	1.66080159543848	3.29557057057057	0.48736212675354	2.571548387	1.76373873873873	10.79041420176870	2.54762262262262	0.46223115977302	1.811429154	1.64977477477477	17.00456598517480	2.39677177177177	1.45476400132726	1.675436323	2.72329829829829	4.02978093130514	3.51183683683683	6.21565031673947	2.786191326	0	0	0	0	0
NaAlSi3O8_T2_nvt_a17.0.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.40297797797797	2.00811911116625	4.76854354354354	1.60595431634629	3.77575978969195	3.35317817817817	2.10045776739752	4.90412912912913	5.27712286824439	3.84514325751299	2.29346846846846	1.86354249066539	3.49637137137137	4.70241671340025	2.641271538	3.40297797797797	2.00811911116625	4.76854354354354	1.60595431634629	3.77575978969195	3.28946446446446	1.18077396859371	3.79241741741741	0.36910457156171	3.20040126046334	3.10923423423423	4.88930736622205	3.75412912912912	3.46613165484438	3.10794949557173	1.75322822822822	12.59642279541360	2.50598098098098	3.73664027329231	1.797593462	3.35317817817817	2.10045776739752	4.90412912912913	1.75904095608133	3.84514325751299	3.10923423423423	4.88930736622205	3.75412912912912	1.15537721828189	3.10794949557173	3.07560060060060	4.49213459502425	3.62705205205205	2.60915142034184	3.06498842463724	1.64346846846846	19.16721939115080	2.31198698698698	3.86931881621207	1.667809944	2.29346846846846	1.86354249066539	3.49637137137137	0.58780208917503	2.641271538	1.75322822822822	12.59642279541360	2.50598098098098	0.46708003416154	1.797593462	1.64346846846846	19.16721939115080	2.31198698698698	1.45099455607953	1.667809944	2.71008508508508	4.55261633889676	3.51348848848848	6.51655793402869	2.781260028	0	0	0	0	0
NaAlSi3O8_T2_nvt_a17.5.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.45012512512512	2.14818801908677	4.82695195195195	1.55026771837225	3.80938255375721	3.33776276276276	2.13801749861386	4.56328828828828	4.08816484700429	3.66988026448535	2.29752252252252	1.96170119804310	3.45082582582582	4.22933222208905	2.613363904	3.45012512512512	2.14818801908677	4.82695195195195	1.55026771837225	3.80938255375721	3.39401901901901	1.41068560032908	3.87379879879879	0.51108906337265	3.21292744447760	3.15247747747747	5.26185013331996	3.76809309309309	3.36055034781225	3.14433191077039	1.76338838838838	13.09790138911190	2.52680180180180	3.71740183733450	1.809484535	3.33776276276276	2.13801749861386	4.56328828828828	1.36272161566799	3.66988026448535	3.15247747747747	5.26185013331996	3.76809309309309	1.12018344927150	3.14433191077039	3.09346846846846	4.99579915321010	3.67074574574574	2.63419463286277	3.08746130567218	1.64827327327327	20.23290815833020	2.41193693693693	3.86408897237402	1.673941528	2.29752252252252	1.96170119804310	3.45082582582582	0.52866652776113	2.613363904	1.76338838838838	13.09790138911190	2.52680180180180	0.46467522966681	1.809484535	1.64827327327327	20.23290815833020	2.41193693693693	1.44903336464025	1.673941528	2.72054554554554	4.81516072513295	3.56303803803803	6.42447738252491	2.79602106	0	0	0	0	0
NaAlSi3O8_T2_nvt_a18.0.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.47560060060060	1.98490322771499	5.01208708708708	1.53600748953492	3.92295203523733	3.38025525525525	2.20798386924718	4.71253753753753	4.25366030114571	3.75492548516760	2.28581081081081	2.04256625962828	3.38806306306306	3.79445712753602	2.586566805	3.47560060060060	1.98490322771499	5.01208708708708	1.53600748953492	3.92295203523733	3.16048548548548	1.93667430845039	3.94401901901901	0.59049193481796	3.19938315748774	3.18405905905905	5.07701549611374	3.84136636636636	3.32556414725900	3.16531805294240	1.76408908908908	13.63224913739390	2.57204704704704	3.70007706991598	1.816421558	3.38025525525525	2.20798386924718	4.71253753753753	1.41788676704858	3.75492548516760	3.18405905905905	5.07701549611374	3.84136636636636	1.10852138241995	3.16531805294240	3.11448948948948	5.36953307221847	3.69872372372372	2.62336881673309	3.10408067600782	1.64827327327327	21.69401511893370	2.41629129129129	3.85901263534690	1.675669988	2.28581081081081	2.04256625962828	3.38806306306306	0.47430714094200	2.586566805	1.76408908908908	13.63224913739390	2.57204704704704	0.46250963373950	1.816421558	1.64827327327327	21.69401511893370	2.41629129129129	1.44712973825508	1.675669988	2.72219719719719	5.06041731393634	3.56569069069069	6.27120561243987	2.795329922	0	0	0	0	0
NaAlSi3O8_T2_nvt_a18.5.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.48611111111111	2.10618280017317	4.88926426426426	1.44229175833800	3.88803172052183	3.36088588588588	2.65875205788802	4.74091591591591	4.58256961951909	3.75711651344771	2.28400900900900	2.38723985491287	3.30953453453453	3.76075153795370	2.543891858	3.48611111111111	2.10618280017317	4.88926426426426	1.44229175833800	3.88803172052183	3.16909409409409	2.74461283459550	4.16383883883883	0.81777295798906	3.22715078584524	3.12224724724724	5.25101933237238	3.79251751751751	3.27747690737089	3.11604394740184	1.77109609609609	15.05790978750150	2.52364864864864	3.75348839962500	1.81996473	3.36088588588588	2.65875205788802	4.74091591591591	1.52752320650636	3.75711651344771	3.12224724724724	5.25101933237238	3.79251751751751	1.09249230245643	3.11604394740184	3.08220720720720	6.07466993731577	3.66954454454454	2.65616585404768	3.09563472884095	1.65037537537537	23.50204807581030	2.37565065065065	3.85774758670169	1.676351205	2.28400900900900	2.38723985491287	3.30953453453453	0.47009394224421	2.543891858	1.77109609609609	15.05790978750150	2.52364864864864	0.46918604995313	1.81996473	1.65037537537537	23.50204807581030	2.37565065065065	1.44665534501313	1.676351205	2.72219719719719	5.55998397734038	3.57009509509509	6.35355598979037	2.798265468	0	0	0	0	0
NaAlSi3O8_T2_nvt_a19.0.outcar.gofr.dat	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	0.00000000000000	3.29201701701701	3.23202655387513	4.75878378378378	1.57296312136560	3.72162982919511	3.40222722722722	2.65777259420008	4.68911411411411	4.30926797311883	3.74930930148192	2.28581081081081	2.58709117711373	3.42084584584584	4.15572752728403	2.587374766	3.29201701701701	3.23202655387513	4.75878378378378	1.57296312136560	3.72162982919511	3.35713213213213	3.31624480257383	3.94667167167167	0.66467184430408	3.23739434655900	3.10563063063063	6.89962329846457	3.71043543543543	3.33882564153998	3.12726192432110	1.76408908908908	16.99529150096350	2.51198698698698	3.75932694144500	1.809405652	3.40222722722722	2.65777259420008	4.68911411411411	1.43642265770628	3.74930930148192	3.10563063063063	6.89962329846457	3.71043543543543	1.11294188051300	3.12726192432110	3.00578078078078	6.60288751139341	3.60898398398398	2.72085124320301	3.02328628339492	1.65112612612612	25.86248223585420	2.30252752752752	3.88044783251833	1.674577338	2.28581081081081	2.58709117711373	3.42084584584584	0.51946594091050	2.587374766	1.76408908908908	16.99529150096350	2.51198698698698	0.46991586768063	1.809405652	1.65112612612612	25.86248223585420	2.30252752752752	1.45516793719437	1.674577338	2.72054554554554	6.32403638624236	3.63726226226226	6.77208113410841	2.809528177	0	0	0	0	0
