Ab solidus	Bell1969s	Ab-J+Qz	Bell1969	Jadeite solidus	Litvin1993	Ab-J+Qz	Newton1967	SiO2 solidus	Zhang1996s	Co-St	Zhang1996	HP solidus	Tsuchiya2011
P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)	P(Gpa)	T(K)
0.003466192	1392.874919	2.402630985	1174.739823	3.324032487	1685.705817	0.413420902	278.9601711	0.528211431	1926.971345	7.359525821	785.0919068	22.88425312	3942.265658
0.04470037	1397.081214	2.41477461	1179.264792	3.420562044	1702.50314	0.449234562	293.6330222	0.798508491	2018.614839	7.58291305	867.789308	26.24705821	4111.287817
0.088765272	1402.95725	2.429258863	1185.106138	3.532031086	1719.667996	0.484970589	307.7723137	0.98531168	2081.03003	7.753983731	930.2768146	32.47631124	4361.560338
0.140366358	1408.511853	2.443637054	1192.304726	3.636053427	1736.073817	0.519281636	321.9093498	1.172171477	2141.642287	7.925077056	992.0431477	38.62528868	4593.021796
0.195785375	1416.068902	2.458036818	1200.000434	3.74011417	1751.520855	0.553307686	336.0459348	1.406262761	2200.955838	8.095989237	1059.578869	48.41579854	4853.382914
0.252348942	1422.989935	2.475983971	1208.409072	3.851586947	1768.592497	0.586478748	350.1811666	1.671710801	2263.572869	8.267088222	1121.164909	61.22075719	5090.55617
0.308912508	1429.910969	2.493998475	1218.369744	3.963121593	1784.119434	0.618794822	364.315045	1.937118744	2327.466977	8.422516967	1180.840037	76.34370155	5304.549568
0.365476075	1436.832002	2.508387453	1225.816892	4.074660507	1799.53984	0.651965884	378.4502768	2.234011752	2390.577916	8.57769098	1248.628367	92.62358036	5493.557946
0.422028856	1443.504475	2.526371877	1235.0844	4.201065207	1817.167811	0.684281958	392.5841553	2.562460003	2450.670456	8.732983868	1312.630536	108.900206	5661.396365
0.478581636	1450.176948	2.547958939	1246.337975	4.334959457	1834.485066	0.714888055	406.7153272	2.906722071	2508.101013	8.888439784	1371.440256	125.1723589	5800.12861
0.535137113	1456.911561	2.569517237	1256.928723	4.468857024	1851.719464	0.744924159	420.845597	3.251107645	2561.597895	9.043858339	1431.439912	141.4425427	5926.046273
0.59169259	1463.646175	2.587483684	1265.781964	4.595339715	1867.40028	0.773820279	434.9740625	3.595686198	2608.948413	9.214786088	1498.479826	157.7086595	6025.498462
0.648231888	1470.007947	2.601883448	1273.477672	4.721824065	1883.039667	0.802146406	449.1016258	3.940581236	2646.218891	9.386056309	1554.611991	173.9747131	6124.539554
0.704776579	1476.494	2.619882254	1283.076594	4.855751501	1899.528345	0.830187538	463.228738	4.285453116	2684.226933	9.541281268	1620.777681	190.2392419	6213.657858
0.761307787	1482.669352	2.637866678	1292.344103	4.997163343	1915.834736	0.857943673	477.3553991	4.57567102	2712.964109	9.696659067	1682.075449	205.7320453	6316.596623
0.817838995	1488.844704	2.652244869	1299.54269	5.138543988	1932.91999	0.8862698	491.4829624	4.975613709	2746.966869	9.867633516	1747.627943	222.7663935	6379.49098
0.874367506	1494.957916	2.670232889	1308.893052	5.287415977	1949.649709	0.914595928	505.6105256	5.320663129	2779.320255	10.03890798	1803.624888	239.0271103	6443.802313
0.930885231	1500.822568	2.691791187	1319.4838	5.428866262	1964.996269	0.943207051	519.73854	5.665774303	2809.706804	10.19442164	1860.595615	252.9667409	6511.117167
0.987405652	1506.74936	2.709746848	1328.08848	5.570296862	1980.834326	0.972388167	533.8674566	6.01103214	2835.422116	10.36530835	1928.942657		
1.043917984	1512.489731	2.724157398	1336.032749	5.734089871	1998.392622	1.000999291	547.9954709	6.356313134	2860.399863	10.53641582	1990.258256		
1.100422226	1518.043683	2.742141822	1345.300257	5.890437274	2015.164523	1.029610415	562.1234853	6.701648162	2883.656629	10.69175966	2052.637785		
1.156929165	1523.659774	2.760108269	1354.153498	6.046822149	2031.000885	1.058506535	576.2519508	7.047129854	2902.242157	10.8471884	2112.312913		
1.213417227	1528.840884	2.778096289	1363.50386	6.203197248	2047.081301	1.08626267	590.3786119	7.392588389	2921.565248	11.01818549	2177.144234		
1.269902593	1533.959855	2.799668969	1374.426021	6.359614164	2062.11771	1.113448813	604.5043708	7.738162711	2937.200521	11.1894543	2233.321472		
1.326393352	1539.203105	2.817653393	1383.69353	6.52354837	2076.150788	1.140349959	618.6296787	8.083922292	2946.935283	11.34479813	2295.701		
1.382876021	1544.259936	2.832031584	1390.892117	6.6724985	2090.929585	1.166111122	632.7531822	8.429550647	2960.849573	11.500108	2359.162289		
1.439361387	1549.378906	2.850012413	1400.076772	6.851291876	2107.335406	1.192727272	646.8780389	8.775171284	2975.009718	11.65562166	2416.133017		
1.49584136	1554.373597	2.868004028	1409.509987	7.015171776	2122.724336	1.21877343	661.0019935	9.120969461	2983.515207	11.82674612	2476.907736		
1.552329422	1559.554707	2.887825629	1419.267934	7.179097835	2136.960792	1.245959573	675.1277525	9.466790795	2991.283132	11.99780265	2539.845976		
1.608812092	1564.611537	2.90833039	1427.647196	7.343051049	2150.519322	1.272290728	689.2521581	9.812550376	3001.017894	12.16872332	2607.111257		
1.665294761	1569.668368	2.918391934	1436.185315	7.506958101	2165.230326	1.298621882	703.3765638	10.1584875	3005.098	12.33969494	2672.753898		
1.72177743	1574.725198	2.936339087	1444.593953	7.670895022	2179.195611	1.326093021	717.5027738	10.50427796	3013.849343	12.49507274	2734.051667		
1.778254707	1579.657748	2.957911767	1455.516115	7.834888965	2191.737251	1.353849156	731.629435	10.85006841	3022.600687	12.65041657	2796.431195		
1.834734679	1584.652438	2.979498829	1466.76969	8.001336439	2206.344063	1.380465307	745.7542917	11.19590519	3029.876903	12.80581135	2857.188083		
1.891203866	1589.398568	2.997483253	1476.037198	8.147891316	2217.602692	1.409212908	759.8825221	11.5417574	3036.661409	12.97684524	2920.847497		
1.946502752	1594.187346	3.015467677	1485.304707	8.311889434	2230.040097	1.439999683	774.5900917	11.88762504	3042.954206	13.14804329	2979.278403		
2.003772343	1599.370637	3.033466483	1494.903629	8.475943114	2241.090298	1.464303705	788.1351772	12.23362392	3045.067475	13.35742922	3063.360475		
2.060624908	1603.947658	3.047877034	1502.847898	8.639916795	2254.137836	1.492914829	802.2631916	12.57951473	3050.622709				
2.117099487	1608.818068	3.062266011	1510.295046	8.803904051	2266.846412	1.523111887	817.3894647	12.92545957	3054.45696				
2.173568674	1613.564198	3.076654989	1517.742194	8.96111015	2279.150311	1.553352047	830.5243089	13.27153122	3054.252171				
2.23002977	1618.123908	3.094639413	1527.009702	9.122035027	2289.119407	1.582168153	844.6526477	13.61620681	3098.511945				
2.28649626	1622.807897	3.112638219	1536.608624	9.270766955	2299.772748	1.614769223	858.7869773	13.96060011	3151.762973				
2.342960053	1627.429747	3.12701641	1543.807212	9.445156215	2311.255688	1.651136611	873.6684644	14.30517866	3199.113491				
2.399415757	1631.865176	3.141405388	1551.25436	9.609201749	2322.509267	1.67370154	883.6317177	14.64981897	3244.497171				
2.45587146	1636.300605	3.155794365	1558.701508	9.773222846	2334.37298	1.69686273	893.4836123	14.99452103	3287.914015				
2.512321771	1640.611755	3.170194129	1566.397216	9.937292818	2345.016426	1.730603785	907.6197463	15.33923852	3330.839149				
2.568772081	1644.922904	3.184604679	1574.341485	10.10133564	2356.337798	1.762919858	921.7536247	15.68410268	3369.093046				
2.625214301	1649.047632	3.202589103	1583.608993	10.26537846	2367.65917	1.795805924	935.8884054	16.02893597	3408.330361				
2.681656522	1653.172361	3.216985272	1591.221848	10.42946472	2377.89586	1.82869199	950.0231861	16.37386188	3444.617421				
2.738093349	1657.17281	3.237936223	1600.222179	10.59354827	2388.200342	1.86129306	964.1575156	16.71890358	3477.216662				
2.794524783	1661.048978	3.250269473	1606.858751	10.75760466	2399.182751	1.894749118	978.2931985	17.06397616	3508.832484				
2.850950825	1664.800866	3.263733269	1615.052238	10.92169907	2409.216063	1.928775169	992.4297835	17.40902558	3541.18587				
2.907376866	1668.552754	3.281724884	1624.485454	11.08579348	2419.249374	1.963656208	1006.567722	17.75416763	3570.589001				
2.96379212	1672.056082	3.297099154	1632.571451	11.24988518	2429.350479	1.994329986	1018.714616	18.09930196	3600.237986				
3.020199285	1675.372989	3.313413646	1640.257691	11.41397416	2439.519376	2.027189054	1031.334394	18.44450576	3627.67428				
3.076603754	1678.627757	3.32751898	1647.514421	11.59203354	2450.91573	2.062125347	1046.411268	18.78984851	3650.685191				
3.1330253	1682.276078	3.342272042	1654.833482	11.73180338	2459.752996	2.099080837	1060.55249	19.13510635	3676.400503				
