elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T2_nvt_a15.0.outcar.umd.dat	30664	2.06	1.1e-12	5.0e-15	-4.39e-01	8.5e-01	6.9e-03	1977	111	>2.0e+00	1.70e-01	9.6e-03	>1.7e-04	-6.84e+00	2.1e-02	5.8e-04	-1.423e+03	4.3e+00	1.2e-01	-3.267e+04	9.9e+01	2.8e+00	3.06	2.4e-02	2.55e+01	2.0e-01	1.26e+00	1.0e-02	8.80e-21	7.0e-23
NaAlSi3O8_T2_nvt_a15.5.outcar.umd.dat	15798	1.87	5.7e-13	3.6e-15	-1.56e+00	7.9e-01	8.8e-03	1994	118	>4.6e+00	1.72e-01	1.0e-02	>4.0e-04	-6.81e+00	2.4e-02	1.3e-03	-1.417e+03	5.0e+00	2.8e-01	-3.254e+04	1.2e+02	6.4e+00	4.08	4.5e-02	3.39e+01	3.8e-01	1.68e+00	1.9e-02	1.17e-20	1.3e-22
NaAlSi3O8_T2_nvt_a16.0.outcar.umd.dat	11720	1.70	1.9e-13	1.8e-15	-1.91e+00	7.1e-01	9.3e-03	2000	110	>4.6e+00	1.72e-01	9.5e-03	>4.0e-04	-6.78e+00	2.1e-02	1.4e-03	-1.410e+03	4.5e+00	2.9e-01	-3.238e+04	1.0e+02	6.7e+00	3.21	4.6e-02	2.67e+01	3.8e-01	1.32e+00	1.9e-02	9.21e-21	1.3e-22
NaAlSi3O8_T2_nvt_a16.5.outcar.umd.dat	18373	1.55	3.2e-13	1.3e-15	-2.16e+00	6.6e-01	6.8e-03	1982	111	>3.1e+00	1.71e-01	9.6e-03	>2.7e-04	-6.78e+00	2.1e-02	7.7e-04	-1.409e+03	4.5e+00	1.6e-01	-3.236e+04	1.0e+02	3.7e+00	3.27	3.4e-02	2.72e+01	2.8e-01	1.35e+00	1.4e-02	9.39e-21	9.8e-23
NaAlSi3O8_T2_nvt_a17.0.outcar.umd.dat	16113	1.42	2.5e-13	2.3e-15	-2.36e+00	7.6e-01	8.4e-03	2000	111	>2.9e+00	1.72e-01	9.6e-03	>2.5e-04	-6.74e+00	2.3e-02	>5.3e-03	-1.402e+03	4.7e+00	>1.1e+00	-3.221e+04	1.1e+02	>2.5e+01	3.63	3.8e-02	3.01e+01	3.2e-01	1.49e+00	1.6e-02	1.04e-20	1.1e-22
NaAlSi3O8_T2_nvt_a17.5.outcar.umd.dat	17013	1.30	4.1e-13	1.0e-15	-1.49e+00	5.7e-01	6.1e-03	1980	112	>2.8e+00	1.71e-01	9.7e-03	>2.4e-04	-6.76e+00	2.1e-02	8.2e-04	-1.406e+03	4.4e+00	1.7e-01	-3.229e+04	1.0e+02	3.9e+00	3.21	3.7e-02	2.67e+01	3.1e-01	1.32e+00	1.5e-02	9.21e-21	1.1e-22
NaAlSi3O8_T2_nvt_a18.0.outcar.umd.dat	16659	1.19	2.2e-13	1.6e-15	-1.69e+00	5.5e-01	6.0e-03	1978	116	>3.2e+00	1.70e-01	1.0e-02	>2.8e-04	-6.73e+00	2.3e-02	9.1e-04	-1.400e+03	4.8e+00	1.9e-01	-3.215e+04	1.1e+02	4.4e+00	3.83	4.2e-02	3.18e+01	3.5e-01	1.58e+00	1.7e-02	1.10e-20	1.2e-22
NaAlSi3O8_T2_nvt_a18.5.outcar.umd.dat	23518	1.10	3.7e-13	2.1e-15	-1.44e+00	4.7e-01	4.3e-03	1978	110	>2.5e+00	1.70e-01	9.5e-03	>2.2e-04	-6.74e+00	2.3e-02	>8.2e-03	-1.401e+03	4.8e+00	>1.7e+00	-3.217e+04	1.1e+02	>3.9e+01	3.87	3.6e-02	3.21e+01	3.0e-01	1.59e+00	1.5e-02	1.11e-20	1.0e-22
NaAlSi3O8_T2_nvt_a19.0.outcar.umd.dat	18421	1.02	2.8e-13	2.0e-15	-7.53e-01	4.3e-01	4.5e-03	1978	113	>2.9e+00	1.70e-01	9.7e-03	>2.5e-04	-6.76e+00	2.3e-02	1.0e-03	-1.406e+03	4.8e+00	2.1e-01	-3.228e+04	1.1e+02	4.8e+00	3.84	3.6e-02	3.20e+01	3.0e-01	1.58e+00	1.5e-02	1.10e-20	1.0e-22
NaAlSi3O8_T3_nvt_a12.0.outcar.umd.dat	11500	4.03	6.0e-13	6.0e-15	4.36e+01	1.9e+00	6.7e-02	2990	169	>5.8e+00	2.58e-01	1.5e-02	>5.0e-04	-6.20e+00	3.6e-02	>9.1e-03	-1.289e+03	7.5e+00	>1.9e+00	-2.960e+04	1.7e+02	>4.4e+01	4.03	5.7e-02	3.35e+01	4.7e-01	1.66e+00	2.3e-02	1.16e-20	1.6e-22
