elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T1.932_nvt_rho2.585_hard.outcar.umd.dat	4425	2.58	2.2e-13	6.9e-16	4.12e+00	1.0e+00	2.2e-02	1927	118	>1.6e+01	1.66e-01	1.0e-02	>1.4e-03	-6.90e+00	2.5e-02	2.6e-03	-1.435e+03	5.3e+00	5.4e-01	-3.295e+04	1.2e+02	1.2e+01	4.84	1.1e-01	4.02e+01	9.2e-01	1.99e+00	4.6e-02	1.39e-20	3.2e-22
NaAlSi3O8_T10_nvt_a10.18_hard.outcar.umd.dat	2250	6.60	2.3e-13	2.3e-15	4.05e+02	5.4e+00	6.4e-01	9999	624	>9.1e+01	8.62e-01	5.4e-02	>7.8e-03	-1.35e+00	1.2e-01	>1.5e-02	-2.803e+02	2.5e+01	>3.2e+00	-6.438e+03	5.8e+02	>7.3e+01	4.15	1.3e-01	3.45e+01	1.1e+00	1.71e+00	5.4e-02	1.19e-20	3.8e-22
NaAlSi3O8_T10_nvt_a10.5_hard.outcar.umd.dat	2250	6.02	2.8e-14	7.7e-16	3.08e+02	4.4e+00	5.4e-01	9999	548	>4.2e+01	8.62e-01	4.7e-02	>3.6e-03	-2.08e+00	1.1e-01	>1.5e-02	-4.320e+02	2.3e+01	>3.1e+00	-9.922e+03	5.3e+02	>7.1e+01	3.48	1.0e-01	2.89e+01	8.4e-01	1.43e+00	4.2e-02	9.98e-21	2.9e-22
NaAlSi3O8_T10_nvt_a10.75_hard.outcar.umd.dat	2250	5.61	1.4e-13	3.2e-15	2.51e+02	5.3e+00	6.6e-01	9989	535	>7.0e+01	8.61e-01	4.6e-02	>6.0e-03	-2.42e+00	1.3e-01	>5.8e-02	-5.035e+02	2.8e+01	>1.2e+01	-1.156e+04	6.4e+02	>2.8e+02	5.02	1.4e-01	4.17e+01	1.1e+00	2.07e+00	5.6e-02	1.44e-20	3.9e-22
NaAlSi3O8_T10_nvt_a11.0_hard.outcar.umd.dat	2750	5.23	2.5e-13	3.6e-15	2.03e+02	4.5e+00	5.7e-01	9980	528	>4.0e+01	8.60e-01	4.6e-02	>3.4e-03	-2.83e+00	1.3e-01	>3.0e-02	-5.878e+02	2.7e+01	>6.2e+00	-1.350e+04	6.1e+02	>1.4e+02	4.64	1.2e-01	3.85e+01	1.0e+00	1.91e+00	4.9e-02	1.33e-20	3.4e-22
NaAlSi3O8_T10_nvt_a11.1_hard.outcar.umd.dat	2750	5.09	3.3e-13	1.2e-15	1.87e+02	3.8e+00	3.6e-01	9994	577	>4.6e+01	8.61e-01	5.0e-02	>4.0e-03	-2.88e+00	1.2e-01	>4.3e-02	-6.000e+02	2.5e+01	>9.0e+00	-1.378e+04	5.8e+02	>2.1e+02	4.20	1.1e-01	3.49e+01	8.9e-01	1.73e+00	4.4e-02	1.21e-20	3.1e-22
NaAlSi3O8_T10_nvt_a11.55_hard.outcar.umd.dat	2511	4.52	2.0e-13	1.4e-15	1.30e+02	3.6e+00	3.5e-01	10000	559	>4.5e+01	8.62e-01	4.8e-02	>3.9e-03	-3.29e+00	1.1e-01	>1.8e-02	-6.839e+02	2.3e+01	>3.7e+00	-1.571e+04	5.4e+02	>8.5e+01	3.56	9.0e-02	2.96e+01	7.5e-01	1.47e+00	3.7e-02	1.02e-20	2.6e-22
NaAlSi3O8_T10_nvt_a11.85_hard.outcar.umd.dat	2670	4.19	9.1e-14	2.2e-15	1.02e+02	3.3e+00	3.1e-01	9984	620	>6.4e+01	8.60e-01	5.3e-02	>5.5e-03	-3.46e+00	1.3e-01	>3.0e-02	-7.197e+02	2.6e+01	>6.3e+00	-1.653e+04	6.0e+02	>1.4e+02	4.42	1.2e-01	3.67e+01	1.0e+00	1.82e+00	5.1e-02	1.27e-20	3.6e-22
NaAlSi3O8_T10_nvt_a12.4_hard.outcar.umd.dat	2282	3.65	2.3e-13	1.4e-16	6.70e+01	2.8e+00	2.2e-01	9992	518	>4.9e+01	8.61e-01	4.5e-02	>4.2e-03	-3.61e+00	1.2e-01	>2.8e-02	-7.510e+02	2.4e+01	>5.9e+00	-1.725e+04	5.6e+02	>1.4e+02	3.79	8.0e-02	3.15e+01	6.6e-01	1.56e+00	3.3e-02	1.09e-20	2.3e-22
NaAlSi3O8_T10_nvt_a13.4_hard.outcar.umd.dat	1862	2.90	5.8e-15	7.0e-16	3.26e+01	2.2e+00	1.9e-01	9984	517	>5.5e+01	8.60e-01	4.5e-02	>4.7e-03	-3.67e+00	1.1e-01	>2.5e-02	-7.627e+02	2.4e+01	>5.3e+00	-1.752e+04	5.5e+02	>1.2e+02	3.65	1.1e-01	3.03e+01	9.0e-01	1.50e+00	4.5e-02	1.05e-20	3.1e-22
NaAlSi3O8_T15_nvt_a10.0_hard.outcar.umd.dat	2036	6.97	1.5e-13	3.4e-15	5.39e+02	5.9e+00	>9.8e-01	14998	802	>5.8e+01	1.29e+00	6.9e-02	>5.0e-03	1.25e+00	1.4e-01	>3.4e-02	2.595e+02	2.9e+01	>7.1e+00	5.960e+03	6.6e+02	>1.6e+02	2.39	6.5e-02	1.99e+01	5.4e-01	9.87e-01	2.7e-02	6.88e-21	1.9e-22
NaAlSi3O8_T15_nvt_a10.18_hard.outcar.umd.dat	2175	6.60	2.2e-13	2.2e-15	4.67e+02	6.0e+00	6.0e-01	14991	745	>5.4e+01	1.29e+00	6.4e-02	>4.7e-03	7.61e-01	1.7e-01	>3.0e-02	1.583e+02	3.6e+01	>6.2e+00	3.635e+03	8.2e+02	>1.4e+02	3.64	9.3e-02	3.03e+01	7.7e-01	1.50e+00	3.8e-02	1.05e-20	2.7e-22
NaAlSi3O8_T15_nvt_a10.5_hard.outcar.umd.dat	2250	6.02	2.8e-14	7.7e-16	3.62e+02	5.8e+00	7.0e-01	15000	775	>5.7e+01	1.29e+00	6.7e-02	>4.9e-03	-6.40e-02	1.8e-01	>2.2e-02	-1.332e+01	3.7e+01	>4.5e+00	-3.058e+02	8.4e+02	>1.0e+02	3.83	1.1e-01	3.19e+01	8.9e-01	1.58e+00	4.4e-02	1.10e-20	3.1e-22
NaAlSi3O8_T15_nvt_a10.7_hard.outcar.umd.dat	2191	5.69	9.2e-14	2.5e-15	3.11e+02	6.1e+00	>3.2e+00	14975	882	>1.2e+02	1.29e+00	7.6e-02	>1.0e-02	-4.65e-01	1.8e-01	>6.2e-02	-9.677e+01	3.8e+01	>1.3e+01	-2.222e+03	8.7e+02	>3.0e+02	4.12	1.3e-01	3.42e+01	1.0e+00	1.70e+00	5.2e-02	1.18e-20	3.6e-22
NaAlSi3O8_T15_nvt_a11.2_hard.outcar.umd.dat	2267	4.96	1.1e-13	3.0e-15	2.13e+02	5.0e+00	5.9e-01	14984	787	>6.2e+01	1.29e+00	6.8e-02	>5.3e-03	-1.16e+00	1.6e-01	>2.2e-02	-2.407e+02	3.4e+01	>4.6e+00	-5.527e+03	7.7e+02	>1.1e+02	3.27	9.6e-02	2.72e+01	8.0e-01	1.35e+00	4.0e-02	9.40e-21	2.8e-22
NaAlSi3O8_T15_nvt_a11.4_hard.outcar.umd.dat	2047	4.70	1.0e-13	1.4e-15	1.84e+02	4.9e+00	>8.8e-01	14982	899	>7.1e+01	1.29e+00	7.7e-02	>6.1e-03	-1.39e+00	1.6e-01	>2.0e-02	-2.885e+02	3.3e+01	>4.1e+00	-6.625e+03	7.5e+02	>9.4e+01	3.10	9.9e-02	2.58e+01	8.2e-01	1.28e+00	4.1e-02	8.90e-21	2.8e-22
NaAlSi3O8_T15_nvt_a12.4_hard.outcar.umd.dat	2337	3.65	2.3e-13	4.5e-16	9.24e+01	2.9e+00	2.3e-01	14982	765	>8.5e+01	1.29e+00	6.6e-02	>7.3e-03	-1.93e+00	1.3e-01	>3.9e-02	-4.016e+02	2.6e+01	>8.1e+00	-9.224e+03	6.1e+02	>1.9e+02	2.00	5.7e-02	1.66e+01	4.8e-01	8.25e-01	2.4e-02	5.75e-21	1.6e-22
NaAlSi3O8_T15_nvt_a13.4_hard.outcar.umd.dat	2094	2.90	3.5e-14	1.2e-15	5.00e+01	2.8e+00	3.0e-01	14989	889	>3.3e+02	1.29e+00	7.7e-02	>2.8e-02	-2.05e+00	1.5e-01	>7.2e-02	-4.267e+02	3.2e+01	>1.5e+01	-9.800e+03	7.4e+02	>3.4e+02	2.95	8.3e-02	2.45e+01	6.9e-01	1.22e+00	3.4e-02	8.47e-21	2.4e-22
NaAlSi3O8_T20_nvt_a10.1_hard.outcar.umd.dat	2600	6.76	1.6e-13	1.7e-15	5.52e+02	8.2e+00	>1.7e+00	19964	1068	>6.8e+01	1.72e+00	9.2e-02	>5.9e-03	2.85e+00	2.0e-01	>3.7e-02	5.919e+02	4.1e+01	>7.6e+00	1.359e+04	9.4e+02	>1.7e+02	2.71	7.9e-02	2.25e+01	6.6e-01	1.12e+00	3.3e-02	7.78e-21	2.3e-22
NaAlSi3O8_T20_nvt_a10.7_hard.outcar.umd.dat	1781	5.69	9.0e-14	2.6e-15	3.55e+02	6.2e+00	6.4e-01	19977	1143	>9.0e+01	1.72e+00	9.8e-02	>7.8e-03	1.34e+00	2.0e-01	>2.8e-02	2.790e+02	4.1e+01	>5.9e+00	6.407e+03	9.4e+02	>1.4e+02	2.68	8.4e-02	2.23e+01	7.0e-01	1.11e+00	3.5e-02	7.71e-21	2.4e-22
NaAlSi3O8_T20_nvt_a11.1_hard.outcar.umd.dat	2656	5.09	3.1e-13	1.3e-15	2.68e+02	5.6e+00	5.0e-01	19980	1088	>7.3e+01	1.72e+00	9.4e-02	>6.3e-03	6.91e-01	2.0e-01	>1.7e-02	1.436e+02	4.1e+01	>3.6e+00	3.298e+03	9.5e+02	>8.3e+01	2.78	8.2e-02	2.31e+01	6.8e-01	1.15e+00	3.4e-02	7.98e-21	2.4e-22
NaAlSi3O8_T20_nvt_a11.6_hard.outcar.umd.dat	2331	4.46	5.0e-14	1.2e-15	1.92e+02	5.4e+00	5.1e-01	19987	1242	>2.6e+02	1.72e+00	1.1e-01	>2.2e-02	1.52e-01	2.0e-01	>6.7e-02	3.167e+01	4.3e+01	>1.4e+01	7.274e+02	9.8e+02	>3.2e+02	2.92	7.4e-02	2.43e+01	6.2e-01	1.20e+00	3.1e-02	8.38e-21	2.1e-22
