elements	Na	Al	Si	O
number	16	16	48	128
file	nsteps	Density(g/cm3)	stdev_rho	err_rho	Pressure(GPa)	stdev_P	err_P	Temperature(K)	stdev_T	err_T	Temperature(eV)	stdev_T	err_T	InternEnergy(eV/atm)	stdev_E	err_E	InternEnergy(eV/unitcell)	stdev_E	err_E	InternEnergy(J/g)	stdev_E	err_E	Cvm(Nkb)	stdev_Cvm	Cvm(J/K/mol)	stdev_Cvm	Cvm(J/K/g)	stdev_Cvm	Cv(J/K/unitcell)	stdev_Cv
NaAlSi3O8_T4.5_nvt_a15.0.outcar.umd.dat	4499	2.06	1.5e-13	3.3e-16	1.68e+00	1.3e+00	2.8e-02	4499	264	>1.1e+01	3.88e-01	2.3e-02	>9.5e-04	-5.86e+00	6.0e-02	>1.7e-02	-1.218e+03	1.2e+01	>3.6e+00	-2.797e+04	2.9e+02	>8.3e+01	4.96	9.8e-02	4.12e+01	8.1e-01	2.04e+00	4.0e-02	1.42e-20	2.8e-22
NaAlSi3O8_T4.5_nvt_a16.0.outcar.umd.dat	5999	1.70	1.6e-13	3.7e-16	2.08e-01	1.1e+00	2.0e-02	4500	261	>9.5e+00	3.88e-01	2.3e-02	>8.2e-04	-5.78e+00	5.8e-02	>7.7e-03	-1.203e+03	1.2e+01	>1.6e+00	-2.763e+04	2.8e+02	>3.7e+01	4.66	8.3e-02	3.87e+01	6.9e-01	1.92e+00	3.4e-02	1.34e-20	2.4e-22
NaAlSi3O8_T4.5_nvt_a17.0.outcar.umd.dat	5999	1.42	1.6e-13	3.9e-16	-1.39e-01	8.8e-01	1.6e-02	4500	248	>9.1e+00	3.88e-01	2.1e-02	>7.8e-04	-5.71e+00	6.0e-02	>6.3e-03	-1.187e+03	1.2e+01	>1.3e+00	-2.726e+04	2.9e+02	>3.0e+01	4.97	8.5e-02	4.13e+01	7.0e-01	2.05e+00	3.5e-02	1.43e-20	2.4e-22
NaAlSi3O8_T4.5_nvt_a18.0.outcar.umd.dat	7503	1.19	1.3e-13	6.5e-16	-1.99e-01	7.5e-01	1.2e-02	4500	253	>8.7e+00	3.88e-01	2.2e-02	>7.5e-04	-5.66e+00	6.8e-02	>2.1e-02	-1.178e+03	1.4e+01	>4.3e+00	-2.706e+04	3.3e+02	>9.9e+01	6.41	1.1e-01	5.33e+01	9.5e-01	2.64e+00	4.7e-02	1.84e-20	3.3e-22
NaAlSi3O8_T4.5_nvt_a19.0.outcar.umd.dat	6975	1.02	1.3e-13	8.5e-16	-2.12e-01	6.6e-01	1.1e-02	4500	258	>9.2e+00	3.88e-01	2.2e-02	>7.9e-04	-5.62e+00	7.5e-02	>3.8e-02	-1.170e+03	1.6e+01	>8.0e+00	-2.686e+04	3.6e+02	>1.8e+02	7.78	1.1e-01	6.47e+01	8.8e-01	3.21e+00	4.3e-02	2.23e-20	3.0e-22
NaAlSi3O8_T4.5_nvt_a20.0.outcar.umd.dat	5742	0.87	7.2e-14	9.4e-16	-1.77e-01	5.6e-01	1.0e-02	4500	282	>1.2e+01	3.88e-01	2.4e-02	>1.0e-03	-5.54e+00	6.7e-02	>2.4e-02	-1.152e+03	1.4e+01	>4.9e+00	-2.646e+04	3.2e+02	>1.1e+02	6.16	1.1e-01	5.12e+01	9.4e-01	2.54e+00	4.7e-02	1.77e-20	3.2e-22
NaAlSi3O8_T4.5_nvt_a21.0.outcar.umd.dat	5278	0.75	4.0e-14	6.5e-16	-1.12e-01	4.5e-01	8.8e-03	4500	273	>1.3e+01	3.88e-01	2.4e-02	>1.1e-03	-5.57e+00	6.9e-02	>1.9e-02	-1.159e+03	1.4e+01	>3.9e+00	-2.662e+04	3.3e+02	>9.0e+01	6.58	1.1e-01	5.47e+01	9.5e-01	2.71e+00	4.7e-02	1.89e-20	3.3e-22
NaAlSi3O8_T4.5_nvt_a22.0.outcar.umd.dat	5414	0.65	3.4e-15	6.6e-17	-9.45e-02	4.1e-01	7.8e-03	4500	248	>1.4e+01	3.88e-01	2.1e-02	>1.2e-03	-5.52e+00	7.7e-02	>1.7e-02	-1.148e+03	1.6e+01	>3.5e+00	-2.637e+04	3.7e+02	>8.0e+01	8.20	1.5e-01	6.82e+01	1.3e+00	3.38e+00	6.4e-02	2.35e-20	4.4e-22
NaAlSi3O8_T4.5_nvt_a23.0.outcar.umd.dat	4831	0.57	6.2e-15	2.6e-16	-8.08e-02	3.5e-01	7.1e-03	4500	280	>1.4e+01	3.88e-01	2.4e-02	>1.2e-03	-5.51e+00	7.2e-02	>3.5e-02	-1.146e+03	1.5e+01	>7.3e+00	-2.632e+04	3.4e+02	>1.7e+02	7.14	1.7e-01	5.94e+01	1.4e+00	2.94e+00	6.8e-02	2.05e-20	4.7e-22
NaAlSi3O8_T4.5_nvt_a24.5.outcar.umd.dat	4333	0.47	2.3e-14	4.1e-16	-4.99e-02	3.0e-01	6.3e-03	4501	245	>2.0e+01	3.88e-01	2.1e-02	>1.7e-03	-5.45e+00	6.0e-02	>3.5e-02	-1.133e+03	1.2e+01	>7.3e+00	-2.602e+04	2.9e+02	>1.7e+02	4.92	1.0e-01	4.09e+01	8.3e-01	2.03e+00	4.1e-02	1.41e-20	2.9e-22
