ρ (kg/m^3)	T (K)	P (GPa)	Thermal P Coeff (GPa/K)	α (1/K)	β (1/GPa)
2316.10000	2500	0.0001	9.08641E-04	7.9818E-05	0.0878441
2296.98000	2600	0.0001	9.34026E-04	8.5941E-05	0.0920107
2276.63000	2700	0.0001	9.52550E-04	9.2107E-05	0.0966950
2255.06000	2800	0.0001	9.64431E-04	9.8264E-05	0.1018882
2232.33000	2900	0.0001	9.69945E-04	1.0432E-04	0.1075571
2208.51000	3000	0.0001	9.69483E-04	1.1016E-04	0.1136308
2183.71000	3100	0.0001	9.63607E-04	1.1563E-04	0.1199999
2158.06000	3200	0.0001	9.53101E-04	1.2059E-04	0.1265277
2131.71000	3300	0.0001	9.39009E-04	1.2497E-04	0.1330833
2104.83000	3400	0.0001	9.22639E-04	1.2880E-04	0.1396040
2077.52000	3500	0.0001	9.05551E-04	1.3238E-04	0.1461819
2049.81000	3600	0.0001	8.89561E-04	1.3626E-04	0.1531795
2021.57000	3700	0.0001	8.76779E-04	1.4154E-04	0.1614327
1992.38000	3800	0.0001	8.70100E-04	1.5009E-04	0.1724997
1961.32000	3900	0.0001	8.74053E-04	1.6597E-04	0.1898870
1926.18000	4000	0.0001	8.98517E-04	2.0070E-04	0.2233669
1879.75000	4100	0.0001	9.78452E-04	3.1623E-04	0.3231968
1785.75000	4200	0.0001	1.44135E-03	2.7596E-03	1.9145645
2472.56000	2500	1	1.14978E-03	5.8377E-05	0.0507725
2457.75000	2600	1	1.18689E-03	6.1747E-05	0.0520248
2442.21000	2700	1	1.21863E-03	6.5107E-05	0.0534265
2425.96000	2800	1	1.24520E-03	6.8461E-05	0.0549798
2409.00000	2900	1	1.26677E-03	7.1805E-05	0.0566839
2391.37000	3000	1	1.28343E-03	7.5128E-05	0.0585367
2373.08000	3100	1	1.29530E-03	7.8409E-05	0.0605331
2354.17000	3200	1	1.30247E-03	8.1617E-05	0.0626629
2334.67000	3300	1	1.30499E-03	8.4716E-05	0.0649165
2314.63000	3400	1	1.30305E-03	8.7654E-05	0.0672685
2294.11000	3500	1	1.29678E-03	9.0381E-05	0.0696966
2273.18000	3600	1	1.28638E-03	9.2844E-05	0.0721745
2251.93000	3700	1	1.27215E-03	9.4997E-05	0.0746737
2230.43000	3800	1	1.25443E-03	9.6807E-05	0.0771718
2208.77000	3900	1	1.23364E-03	9.8267E-05	0.0796559
2187.05000	4000	1	1.21027E-03	9.9403E-05	0.0821328
2165.31000	4100	1	1.18487E-03	1.0028E-04	0.0846353
2143.63000	4200	1	1.15800E-03	1.0102E-04	0.0872357
2122.00000	4300	1	1.13026E-03	1.0179E-04	0.0900544
2100.41000	4400	1	1.10224E-03	1.0283E-04	0.0932871
2078.77000	4500	1	1.07454E-03	1.0449E-04	0.0972413
2056.89000	4600	1	1.04776E-03	1.0731E-04	0.1024222
2034.49000	4700	1	1.02262E-03	1.1223E-04	0.1097433
2010.98000	4800	1	1.00006E-03	1.2114E-04	0.1211312
1985.21000	4900	1	9.81867E-04	1.3906E-04	0.1416244
1954.02000	5000	1	9.72754E-04	1.8749E-04	0.1927384
1916.79000	5100	1	1.01066E-03	3.0387E-04	0.3006669
1886.32000	5200	1	1.07671E-03	8.5673E-04	0.7956969
2581.80000	2500	2	1.34547E-03	5.0253E-05	0.0373497
2568.56000	2600	2	1.38530E-03	5.2567E-05	0.0379462
2554.80000	2700	2	1.42069E-03	5.4866E-05	0.0386191
2540.53000	2800	2	1.45188E-03	5.7158E-05	0.0393682
2525.76000	2900	2	1.47904E-03	5.9447E-05	0.0401931
2510.51000	3000	2	1.50234E-03	6.1735E-05	0.0410927
2494.77000	3100	2	1.52187E-03	6.4019E-05	0.0420659
2478.57000	3200	2	1.53773E-03	6.6292E-05	0.0431103
2461.91000	3300	2	1.54998E-03	6.8543E-05	0.0442218
2444.82000	3400	2	1.55867E-03	7.0757E-05	0.0453955
2427.32000	3500	2	1.56383E-03	7.2912E-05	0.0466242
2409.44000	3600	2	1.56551E-03	7.4986E-05	0.0478985
2391.20000	3700	2	1.56376E-03	7.6948E-05	0.0492070
2372.65000	3800	2	1.55862E-03	7.8767E-05	0.0505364
2353.84000	3900	2	1.55019E-03	8.0410E-05	0.0518710
2334.82000	4000	2	1.53858E-03	8.1844E-05	0.0531943
2315.64000	4100	2	1.52393E-03	8.3040E-05	0.0544903
2296.38000	4200	2	1.50642E-03	8.3978E-05	0.0557466
