Density (kg/m3)	Temperature (K)	Pressure (GPa)	(dp/dT)V (GPa/K)	α=ρ-1(dρ/dT)P (K-1)	β= -ρ-1(dρ/dp)T (GPa-1)
2398.211	3500	0.84	0.00066486	3.95751E-05	0.059524033
2398.211	4000	0.98	0.00066486	3.13614E-05	0.047169988
2398.211	4500	1.28	0.00066486	2.91606E-05	0.043859814
2398.211	5000	1.64	0.00066486	2.65945E-05	0.04000015
2398.211	5500	2.01	0.00066486	2.26144E-05	0.034013733
2398.211	6000	2.45	0.00066486	2.02702E-05	0.030487919
2518.122	3500	1.68	0.000977415	5.31319E-05	0.054359656
2518.122	4000	2.04	0.000977415	4.30959E-05	0.044091721
2518.122	4500	2.42	0.000977415	3.64191E-05	0.03726061
2518.122	5000	2.89	0.000977415	3.31507E-05	0.033916709
2518.122	5500	3.48	0.000977415	2.8945E-05	0.029613843
2518.122	6000	4.09	0.000977415	2.70288E-05	0.027653344
2598.062	3500	2.3	0.001234656	5.58551E-05	0.045239432
2598.062	4000	2.78	0.001234656	4.46841E-05	0.036191545
2598.062	4500	3.41	0.001234656	3.78096E-05	0.030623615
2598.062	5000	3.98	0.001234656	3.32112E-05	0.026899122
2598.062	5500	4.69	0.001234656	2.91418E-05	0.023603182
2598.062	6000	5.32	0.001234656	2.90271E-05	0.023510256
2673.268	3500	3	0.001469306	5.13875E-05	0.034973977
2673.268	4000	3.69	0.001469306	4.59424E-05	0.031268126
2673.268	4500	4.37	0.001469306	3.83277E-05	0.026085563
2673.268	5000	5.11	0.001469306	3.27232E-05	0.022271165
2673.268	5500	6.01	0.001469306	3.13905E-05	0.021364194
2673.268	6000	6.63	0.001469306	2.86666E-05	0.019510277
2724.28	3500	3.65	0.001672326	4.78216E-05	0.028595858
2724.28	4000	4.29	0.001672326	4.34742E-05	0.025996235
2724.28	4500	5.22	0.001672326	3.50984E-05	0.020987786
2724.28	5000	6.1	0.001672326	3.22846E-05	0.019305221
2724.28	5500	6.9	0.001672326	3.16176E-05	0.018906353
2724.28	6000	7.74	0.001672326	2.70369E-05	0.01616727
2797.913	3500	4.6	0.001959645	2.75089E-05	0.014037712
2797.913	4000	5.45	0.001959645	2.49242E-05	0.012718732
2797.913	4500	6.55	0.001959645	2.32239E-05	0.011851053
2797.913	5000	7.48	0.001959645	2.18922E-05	0.011171491
2797.913	5500	8.43	0.001959645	2.07681E-05	0.010597866
2797.913	6000	9.46	0.001959645	1.96682E-05	0.010036592
3307.533	3500	18.5	0.004095845	4.24896E-05	0.010373818
3307.533	4000	20.68	0.004095845	3.94257E-05	0.00962579
3307.533	4500	22.81	0.004095845	3.69281E-05	0.009015989
3307.533	5000	24.76	0.004095845	3.47794E-05	0.00849139
3307.533	5500	26.57	0.004095845	3.28364E-05	0.008017011
3307.533	6000	28.51	0.004095845	3.17286E-05	0.007746531
3367.488	3500	21.2	0.004287095	2.45931E-05	0.005736546
3367.488	4000	23.34	0.004287095	2.58182E-05	0.006022315
3367.488	4500	25.65	0.004287095	2.66543E-05	0.006217323
3367.488	5000	27.76	0.004287095	2.36776E-05	0.005523003
3367.488	5500	29.91	0.004287095	2.33614E-05	0.00544924
3367.488	6000	31.69	0.004287095	2.26432E-05	0.005281707
3417.451	3500	24.19	0.004396557	2.33289E-05	0.005306183
3417.451	4000	26.1	0.004396557	2.27213E-05	0.005167975
3417.451	4500	28.06	0.004396557	2.24912E-05	0.005115629
3417.451	5000	30.67	0.004396557	2.18866E-05	0.004978112
3417.451	5500	32.56	0.004396557	2.13322E-05	0.004852029
3417.451	6000	34.69	0.004396557	2.06296E-05	0.004692207
3557.347	3500	31.67	0.004896202	1.8295E-05	0.003736576
3557.347	4000	34.09	0.004896202	1.81175E-05	0.003700307
3557.347	4500	36.51	0.004896202	1.79105E-05	0.003658037
3557.347	5000	38.92	0.004896202	1.77403E-05	0.00362327
3557.347	5500	41.36	0.004896202	1.73669E-05	0.003547016
3557.347	6000	43.53	0.004896202	1.71353E-05	0.003499722
3987.026	3500	67.04	0.005381283	1.41157E-05	0.002623113
3987.026	4000	69.37	0.005381283	1.41272E-05	0.002625254
3987.026	4500	71.83	0.005381283	1.40091E-05	0.002603297
3987.026	5000	74.86	0.005381283	1.39339E-05	0.002589326
3987.026	5500	77.7	0.005381283	1.38042E-05	0.002565232
3987.026	6000	80.44	0.005381283	1.35857E-05	0.002524626
4326.773	3500	105.24	0.005718363	1.17544E-05	0.002055551
4326.773	4000	107.6	0.005718363	1.17452E-05	0.002053937
4326.773	4500	110.64	0.005718363	1.15696E-05	0.002023242
4326.773	5000	113.45	0.005718363	1.16356E-05	0.002034777
4326.773	5500	116.59	0.005718363	1.15458E-05	0.00201908
4326.773	6000	119.97	0.005718363	1.13589E-05	0.001986391
