rho	temperature	P	alpha	beta	TPC
(g/cm3)	(K)	(GPa)	(K-1)	(GPa-1)	(GPa/K)
1.55	2000	-2.16	-3.001130e-04	-4.014337e-01	7.476030e-04
1.7	2000	-1.91	-2.720828e-04	-3.137255e-01	8.672641e-04
1.87	2000	-1.56	-1.282144e-04	-1.308724e-01	9.796895e-04
2.06	2000	-0.439	-9.151212e-05	-8.227744e-02	1.112238e-03
1.55	3000	-0.648	8.884926e-04	1.188455e+00	7.476030e-04
1.7	3000	-0.725	-7.593009e-04	-8.755130e-01	8.672641e-04
1.87	3000	-0.433	-1.472313e-04	-1.502837e-01	9.796895e-04
2.06	3000	0.556	-1.264735e-04	-1.137108e-01	1.112238e-03
2.29	3000	1.36	-7.506624e-05	-4.974062e-02	1.509154e-03
2.54	3000	4.77	-4.243749e-05	-2.739670e-02	1.549000e-03
2.83	3000	9.12	-4.063721e-05	-2.018267e-02	2.013471e-03
3.17	3000	15.8	-3.875885e-05	-1.425143e-02	2.719646e-03
3.57	3000	25.5	-3.760756e-05	-8.665337e-03	4.340000e-03
4.03	3000	43.6	-3.735884e-05	-6.306294e-03	5.924056e-03
1.55	4500	0.0953	-4.706097e-04	-6.294914e-01	7.476030e-04
1.7	4500	0.29	-2.137616e-04	-2.464781e-01	8.672641e-04
1.87	4500	0.859	-1.356858e-04	-1.384988e-01	9.796895e-04
2.06	4500	1.68	-1.249514e-04	-1.123423e-01	1.112238e-03
1.55	4000	-0.253	-5.382443e-04	-7.199600e-01	7.476030e-04
1.7	4000	-0.00409	-3.028751e-04	-3.492306e-01	8.672641e-04
1.87	4000	0.286	-1.528279e-04	-1.559962e-01	9.796895e-04
2.06	4000	1.23	-9.799786e-05	-8.810868e-02	1.112238e-03
2.29	4000	2.6	-7.373639e-05	-4.885944e-02	1.509154e-03
2.54	4000	5.52	-4.333092e-05	-2.797348e-02	1.549000e-03
2.83	4000	10.2	-3.620585e-05	-1.798181e-02	2.013471e-03
3.17	4000	17.9	-3.222690e-05	-1.184967e-02	2.719646e-03
3.57	4000	29.9	-3.676710e-05	-8.471681e-03	4.340000e-03
4.03	4000	49.6	-3.149977e-05	-5.317263e-03	5.924056e-03
1.55	5000	0.361	-4.976364e-04	-6.656426e-01	7.476030e-04
1.55	5000	0.333	-0.000000e+00	-0.000000e+00	7.476030e-04
1.55	5000	0.38	-0.000000e+00	-0.000000e+00	7.476030e-04
1.55	5000	0.419	-0.000000e+00	-0.000000e+00	7.476030e-04
1.55	5000	0.388	-3.303593e-04	-4.418913e-01	7.476030e-04
1.7	5000	0.638	-1.613139e-04	-1.860033e-01	8.672641e-04
1.87	5000	1.4	-1.070393e-04	-1.092584e-01	9.796895e-04
2.06	5000	2.4	-8.367788e-05	-7.523376e-02	1.112238e-03
2.29	5000	4.11	-6.701888e-05	-4.440826e-02	1.509154e-03
2.54	5000	7.12	-3.972436e-05	-2.564517e-02	1.549000e-03
2.83	5000	12.4	-3.349988e-05	-1.663788e-02	2.013471e-03
3.17	5000	20.5	-2.939213e-05	-1.080734e-02	2.719646e-03
3.57	5000	34.0	-2.978605e-05	-6.863144e-03	4.340000e-03
4.03	5000	55.6	-3.130532e-05	-5.284441e-03	5.924056e-03
1.55	6000	1.15	-1.758475e-04	-2.352151e-01	7.476030e-04
1.7	6000	1.63	-1.265502e-04	-1.459188e-01	8.672641e-04
1.87	6000	2.44	-8.938546e-05	-9.123856e-02	9.796895e-04
2.06	6000	3.74	-6.553961e-05	-5.892587e-02	1.112238e-03
2.29	6000	5.9	-5.588854e-05	-3.703304e-02	1.509154e-03
2.54	6000	9.4	-3.579510e-05	-2.310852e-02	1.549000e-03
2.83	6000	15.1	-3.070058e-05	-1.524759e-02	2.013471e-03
3.17	6000	24.0	-2.701574e-05	-9.933553e-03	2.719646e-03
3.57	6000	38.6	-2.795428e-05	-6.441079e-03	4.340000e-03
4.03	6000	61.4	-2.965768e-05	-5.006312e-03	5.924056e-03
1.7	7000	2.62	-8.824308e-05	-1.017488e-01	8.672641e-04
2.06	7000	5.22	-7.475837e-05	-6.721434e-02	1.112238e-03
